30004, 3135843566, 1, 0, 0
60003, 3176325936, 1, 0, 0
90022, 3460879614, 1, 0, 0
120003, 3247165705, 1, 0, 0
150022, 3216242475, 1, 0, 0
180110, 3377798941, 1, 0, 0
210038, 3167932351, 1, 0, 0
240076, 3489900382, 1, 0, 0
270006, 3058645307, 1, 0, 0
300016, 2986129990, 1, 0, 0
330009, 2517887090, 1, 0, 0
360061, 2471193249, 1, 0, 0
401602, 2508623514, 1, 0, 0
420000, 2797182267, 1, 0, 0
450017, 2533305426, 1, 0, 0
480004, 2567681081, 1, 0, 0
510023, 2540545601, 1, 0, 0
540010, 2773569538, 1, 0, 0
570013, 2586585756, 1, 0, 0
600000, 2913920094, 1, 0, 0
600774, 1655322112, 1, 0, 0
