30087, 3105044722, 1, 0, 0
60008, 3189500881, 1, 0, 0
90006, 3386649330, 1, 0, 0
120019, 3236909615, 1, 0, 0
150020, 3124063010, 1, 0, 0
180059, 3163708434, 1, 0, 0
210019, 3161517843, 1, 0, 0
240007, 3051357775, 1, 0, 0
270037, 3440969131, 1, 0, 0
300030, 3256394377, 1, 0, 0
330062, 3155442166, 1, 0, 0
360036, 2742577518, 1, 0, 0
401571, 2641760431, 1, 0, 0
420003, 3207514291, 1, 0, 0
450011, 2588621028, 1, 0, 0
480006, 2858428339, 1, 0, 0
510016, 2795758867, 1, 0, 0
540001, 2656593821, 1, 0, 0
570001, 2630327173, 1, 0, 0
600024, 3146320476, 1, 0, 0
600732, 1481078407, 1, 0, 0
