30010, 3373394548, 1, 0, 0
60018, 3084901290, 1, 0, 0
90011, 3375939324, 1, 0, 0
120034, 3155017780, 1, 0, 0
150003, 3144934582, 1, 0, 0
180013, 3467059838, 1, 0, 0
210006, 3309712492, 1, 0, 0
240027, 3079864871, 1, 0, 0
270039, 3452342857, 1, 0, 0
300007, 3553832508, 1, 0, 0
330016, 3550134698, 1, 0, 0
360008, 3287960757, 1, 0, 0
401768, 3339242437, 1, 0, 0
420004, 4066313211, 1, 0, 0
450025, 3243723114, 1, 0, 0
480032, 3229393848, 1, 0, 0
510002, 3275606883, 1, 0, 0
540011, 3160495928, 1, 0, 0
570037, 3329478857, 1, 0, 0
600004, 3651231531, 1, 0, 0
600853, 2537018875, 1, 0, 0
